topic,title,summary,url,image_url,date
transportation,Air taxi manufacturer Joby Aviation ups flight tests with onboard pilots,Joby CEO JoeBen Bevirt said government support on the state and federal level will help the U.S. to lead the technology for electric vertical takeoff and landing aircraft.,https://www.smartcitiesdive.com/news/air-taxi-joby-aviation-piloted-flight-tests-evtol/747722/,https://imgproxy.divecdn.com/OEzpqexwlvww7Ji2adA28cZhCFODEaw7lU7hrLiTmJI/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9Kb2J5LUluaGFiaXRlZC1GbGlnaHQtMV9MZktmZmlZLmpwZw==.webp,ByDan Zukowski•
transportation,DOT awards $3.2B to 180 projects,"Transportation Secretary Sean Duffy said the Biden administration left the transportation department with 3,200 unobligated grants.",https://www.smartcitiesdive.com/news/transportation-department-duffy-32b-grants-180-projects/747467/,https://imgproxy.divecdn.com/QNBAbBWpoNK4O2S3VMu1ovFuqJoTKcfEvYe6squ78ME/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjEzNzg4MzA1LmpwZw==.webp,ByDan Zukowski•
transportation,"Uber expands robotaxis in partnership with Waymo, May Mobility, others","Atlanta will soon join Austin, Texas, offering autonomous Uber ride-hailing vehicles, the company's CEO, Dara Khosrowshahi, said today.",https://www.smartcitiesdive.com/news/uber-robotaxis-austin-atlanta-waymo-Khosrowshahi/747306/,https://imgproxy.divecdn.com/1nCDO9McT8aplYguPH3trIQtTIks2IylIhg6LBHVL-c/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjA0NDUxMDkzLmpwZw==.webp,ByDan Zukowski•
transportation,Amtrak could modernize Northeast Corridor for less: NYU study,"Researchers at New York University propose innovations to turn the Northeast Corridor into a true high-speed rail line, benefiting commuters and intercity riders.",https://www.smartcitiesdive.com/news/amtrak-northeast-corridor-nyu-study/747235/,https://imgproxy.divecdn.com/CTOEsWDUB7PN8jYzu6juR6kO9D0Vh8bbnEBHVFzewfA/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS8wNjExMjAyMV9Sb3V0ZTEyOF8wMjE5N19zeXRxV1doLmpwZw==.webp,ByDan Zukowski•
transportation,California DMV proposes new AV regulation framework,"Heavy-duty autonomous vehicles over 10,001 pounds can be tested with a DMV-approved permit under the state’s new framework.",https://www.smartcitiesdive.com/news/california-dmv-proposedav-regulations-framework/747249/,https://imgproxy.divecdn.com/FuRQD8LJiSJU0hNXYrdfByD6xJnFAc_jtLdOUSVpRIM/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9ETVZfRmllbGRfT2ZmaWNlX1NvdXRoX1NhYy5qcGc=.webp,"By
                                
                                    

                                    Alejandra Carranza

                                    

                                    
                                
                                    •"
transportation,House bill would rescind $3.1B from transportation equity grants,"If enacted, some 78 projects funded by the Neighborhood Access and Equity program would be at risk of losing grants previously awarded.",https://www.smartcitiesdive.com/news/house-republicans-rescind-reconnecting-communities-equity-grants/747089/,https://imgproxy.divecdn.com/qavgNm1GBMRrcQcUl4AiaYg969DT-3I6aDisx9ULS8E/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TY3JlZW5zaG90XzIwMjUtMDQtMzBfYXRfMTAuMDkuMzNBTV9jb3B5LnBuZw==.webp,ByDan Zukowski•
transportation,Jacobs-McCourt books $99M Boston-area road project,The contractors expect to wrap up work on Massachusetts’ first diverging diamond interchange by mid-2030.,https://www.smartcitiesdive.com/news/boston-massachusetts-highway-construction/747007/,https://imgproxy.divecdn.com/mNLeZ-l14DqS2teXBGgkVfk8RbXz_SLs3ftcz_CGasw/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9pU3RvY2stMTQ5MzYwMTM4My5qcGc=.webp,"By
                                
                                    

                                    Sebastian Obando

                                    

                                    
                                
                                    •"
transportation,Amazon’s Zoox robotaxis start testing in Los Angeles,Los Angeles becomes the sixth city where Zoox is testing its autonomous vehicles. The company expects to accept customers this year in Las Vegas.,https://www.smartcitiesdive.com/news/amazon-zoox-robotaxis-start-testing-los-angeles/746970/,https://imgproxy.divecdn.com/jyRZm70hm-Z5qqAkLLTaBnqWrR_KcyvRCBvKmmyTM40/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS8xNzM4NzkxNjM4LXpvb3gtcm9ib3RheGktY3Jvc3Nlcy1pbnRlcnNlY3Rpb24taW4tc2FuLWZyYW5jaXNjb19jb3B5LmpwZw==.webp,ByDan Zukowski•
transportation,House committee proposes annual $250 fee for EVs,Shoring up the Highway Trust Fund with annual federal registration fees for electric and hybrid vehicles is part of the Transportation & Infrastructure Committee’s budget reconciliation proposal.,https://www.smartcitiesdive.com/news/new-annual-250-federal-ev-registration-fee-house-transportation-committee/746736/,https://imgproxy.divecdn.com/9FPgxpC4COHT846l5L4L40ggI_5vLCZtNMzadmh9Ze4/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TY3JlZW5zaG90XzIwMjUtMDQtMzBfYXRfMTAuMTQuNDJBTS10b3Bhei11cHNjYWxlLTJ4LmpwZWc=.webp,ByDan Zukowski•
transportation,DOT will cut funds to transportation projects with DEI: Duffy,The U.S. transportation secretary also told funding recipients that they need to cooperate with immigration officers or potentially face civil or criminal prosecution.,https://www.smartcitiesdive.com/news/duffy-dot-transportation-funds-dei/746758/,https://imgproxy.divecdn.com/ungd6NlXNv7wIjU8wwg1K83V0l0zhTnsJoLe5LNZC3s/g:nowe:0:0/c:1021:577/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjA0NjAxMjQ0LmpwZw==.webp,"By
                                
                                    

                                    Julie Strupp

                                    

                                    
                                
                                    •"
