date,title,url,excerpt
"May 5, 2025",AECOM reports second quarter fiscal 2025 results,https://aecom.com/press-releases/aecom-reports-second-quarter-fiscal-2025-results/,Read more
"April 23, 2025",AECOM strengthens U.K. & Ireland Water and Energy platform with acquisition of Scotland-based Allen Gordon LLP,https://aecom.com/press-releases/aecom-strengthens-u-k-ireland-water-and-energy-platform-with-acquisition-of-scotland-based-allen-gordon-llp/,"Allen Gordon’s rich history, strong client relationships, and outstanding technical and advisory expertise enhance AECOM’s growth potential, driven by the significant anticipated investments in water and energy infrastructure in the region DALLAS (April 23, 2025) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced it has acquired Scotland-based Allen Gordon LLP, a leading...Read more"
"April 22, 2025","AECOM appoints Simon Ng as Senior Vice President, Strategic Business Development Alternative Delivery, for its Canada region",https://aecom.com/press-releases/aecom-appoints-simon-ng-as-senior-vice-president-strategic-business-development-alternative-delivery-for-its-canada-region/,"TORONTO (April 22, 2025) — AECOM, the trusted global infrastructure leader, is pleased to announce that Simon Ng has been appointed to the role of Senior Vice President, Strategic Business Development Alternative Delivery. As part of the Program Management business line, Mr. Ng will work to develop AECOM’s alternative delivery capacity by supporting Canada-wide operations...Read more"
"April 22, 2025",AECOM to provide comprehensive technical services for enhanced railway safety across England,https://aecom.com/press-releases/aecom-to-provide-comprehensive-technical-services-for-enhanced-railway-safety-across-england/,"DALLAS (April 21, 2025) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced it has been awarded a position on Network Rail’s Asset Protection (ASPRO) support services framework for the North West & Central region. The three-year framework, with an optional two-year extension, will see AECOM supporting the region’s three ASPRO services teams...Read more"
"April 15, 2025","AECOM engaged to commence investigation for Northern Metropolis Highway, one of the largest new projects in Hong Kong",https://aecom.com/press-releases/aecom-engaged-to-commence-investigation-for-northern-metropolis-highway-one-of-the-largest-new-projects-in-hong-kong/,"DALLAS (April 15, 2025) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced that its joint venture has been engaged by the Highways Department of the HKSAR Government to deliver an array of technical services for the Northern Metropolis Highway (NMH). This pivotal project aims to enhance east-west connectivity in Hong Kong’s large-scale new...Read more"
"April 8, 2025",AECOM to support the delivery of landmark capital investment program for Sydney Water,https://aecom.com/press-releases/aecom-to-support-the-delivery-of-landmark-capital-investment-program-for-sydney-water/,"DALLAS (April 8, 2025) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced it has been selected as a Design Development Partner for Sydney Water, Australia’s largest water utility. In its role, the Company will support Sydney Water to deliver a transformative capital investment program over the next decade. This initiative aims to...Read more"
"April 3, 2025",AECOM selected to continue providing environmental remediation services for the U.S. Army Corps of Engineers,https://aecom.com/press-releases/aecom-selected-to-continue-providing-environmental-remediation-services-for-the-u-s-army-corps-of-engineers/,"KANSAS CITY (April 3, 2025) — AECOM, the trusted global infrastructure leader, today announced it has been awarded a five-year indefinite delivery/indefinite quantity contract by the U.S. Army Corps of Engineers (USACE) Kansas City District. The contract will see AECOM continuing to provide environmental A-E remediation services across the USACE Northwestern Division and U.S. Environmental...Read more"
"April 1, 2025",AECOM Appoints Dr Johnny Cheuk as Hong Kong Leader,https://aecom.com/press-releases/aecom-appoints-dr-johnny-cheuk-as-hong-kong-leader/,"HONG KONG (April 1, 2025) — AECOM, the trusted global infrastructure leader, today announced that Dr Johnny Cheuk has been appointed as Leader of its Hong Kong practice, effective April 1, 2025. He will lead a multidisciplinary team of over 4,400 professionals across Design and Consulting Services and Site Offices. In this capacity, Dr Cheuk...Read more"
"March 31, 2025",AECOM announces Chief Human Resources Officer transition,https://aecom.com/press-releases/aecom-announces-chief-human-resources-officer-transition/,"DALLAS (March 31, 2025) — AECOM, the trusted global infrastructure leader, today announced the appointment of Emily Gepner as Chief Human Resources Officer, succeeding Shirley Adams, who plans to retire at the end of the year. With deep experience in strategic resourcing and global operations, Ms. Gepner will build on the Company’s strong foundation to...Read more"
"March 27, 2025",AECOM joint venture awarded contract to deliver technical services for key new phase of Hong Kong’s major Northern Metropolis development,https://aecom.com/press-releases/aecom-joint-venture-awarded-contract-to-deliver-technical-services-for-key-new-phase-of-hong-kongs-major-northern-metropolis-development/,"DALLAS (March 27, 2025) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced that it has been selected in a joint venture by the Civil Engineering and Development Department (CEDD) of the HKSAR Government for the design and construction of Package 3 of the First Phase Development of the New Territories North – San...Read more"
