title,link,date,tags
AtkinsRéalis signs new execution contract for Darlington Small Modular Reactor Project,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=CANDU,28 May 2025,"CANDU, CANDU TECHNOLOGY, NUCLEAR"
AtkinsRéalis Awarded Project Management Contract to Refurbish Isle-Maligne Hydropower Plant in Quebec,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Hydro,16 May 2025,HYDRO
AtkinsRéalis Announces the Results of the Vote for the Election of Directors,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,15 May 2025,INVESTORS
AtkinsRéalis Reports Strong First Quarter 2025 Results,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,15 May 2025,INVESTORS
"AtkinsRéalis Completes Agreement to Acquire a Majority Stake in David Evans Enterprises, Inc.",https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,14 April 2025,INVESTORS
AtkinsRéalis to hold its first quarter earnings webcast and conference call and Annual Meeting of Shareholders,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,03 April 2025,INVESTORS
"AtkinsRéalis Selected to Improve, Strengthen and Harden Puerto Rico’s Power Grid",https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Transmission%20&%20Distribution,24 March 2025,TRANSMISSION & DISTRIBUTION
"AtkinsRéalis, part of Cadence Consortium, to Deliver Canada’s First High-Speed Train",https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=High%20speed%20rail,21 March 2025,"HIGH SPEED RAIL, TRANSPORTATION"
AtkinsRéalis Reports Fourth Quarter 2024 Results; Introduces 2025 Outlook,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,13 March 2025,INVESTORS
AtkinsRéalis Announces Renewal of Normal Course Issuer Bid,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,13 March 2025,INVESTORS
AtkinsRéalis Signs Agreements to Sell all of its Remaining 6.76% Interest in Highway 407 ETR to Ferrovial and CPP Investments for up to approximately $2.79 Billion,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,13 March 2025,INVESTORS
AtkinsRéalis to Manage San Francisco Airport’s Airfield Improvement Program,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Airports%20&%20Aviation,11 March 2025,"AIRPORTS & AVIATION, PROJECT & DELIVERY MANAGEMENT"
AtkinsRéalis Joint Venture to support regional connectivity in Toronto with work on new East Harbour Transit Hub,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases/2025/2025-03-10,10 March 2025,
AtkinsRéalis Announces Changes to Senior Leadership Team,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,04 March 2025,"INVESTORS, GOVERNANCE"
"AtkinsRéalis to acquire majority stake in David Evans Enterprises, Inc., forming a leading growth platform for the Western US",https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,18 February 2025,INVESTORS
"AtkinsRéalis to hold its fourth quarter earnings webcast and conference call on March 13, 2025",https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Investors,06 February 2025,INVESTORS
"AtkinsRéalis joint venture enters into multi-billion dollar contract for Pickering CANDU Nuclear Generating Station Life Extension, as nuclear super cycle continues",https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=CANDU,23 January 2025,"CANDU, NUCLEAR"
AtkinsRéalis Awarded Texas General Engineering Services Contract,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Transportation,15 January 2025,TRANSPORTATION
AtkinsRéalis and Mott MacDonald appointed to Rolls-Royce Submarines program,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Defence,13 January 2025,"DEFENCE, NUCLEAR"
AtkinsRéalis Joint Venture Awarded US$43-Million Water Program Management Services Contract,https://www.atkinsrealis.comhttps://www.atkinsrealis.com/en/media/press-releases?f=Water,09 January 2025,WATER
