title,link,image,date
"SMEC leaders joined the conversation at Ozwater’25: Looking back, moving forward",https://www.smec.com/general/smec-at-ozwater25/,https://www.smec.com/wp-content/uploads/2025/04/Katse-Dam-Lesotho-Highlands-Water-Scheme.jpg,"May 7, 2025"
"SMEC’s Integrated Role in Shaping South Place, Deebing Heights",https://www.smec.com/general/smecs-integrated-role-in-shaping-south-place-deebing-heights/,https://www.smec.com/wp-content/uploads/2025/04/04_Streetscape_DeebingHeights_amend01_FINAL_low-res.resized.jpg,"Apr 15, 2025"
SMEC and ActivUs Alliance awarded Logan and Gold Coast Faster Rail Project,https://www.smec.com/general/smec-activus-aliance-awarded-logan-and-gold-coast-faster-rail/,https://www.smec.com/wp-content/uploads/2025/04/Logan-to-Gold-Coast-Image-2.png,"Apr 15, 2025"
It was another successful night for SMEC at the Consult Australia 2024/2025 Awards for Excellence!,https://www.smec.com/general/it-was-another-successful-night-for-smec-at-the-consult-australia-2024-2025-awards-for-excellence/,https://www.smec.com/wp-content/uploads/2025/03/CA_Awards.jpg,"Apr 1, 2025"
"SMEC Joins the British Hydropower Association, Supporting the UK’s Net Zero Transition",https://www.smec.com/general/smec-joins-the-british-hydropower-association-supporting-the-uks-net-zero-transition/,https://www.smec.com/wp-content/uploads/2025/03/UK-Hydropower_Banner.jpg,"Mar 21, 2025"
Celebrating Outstanding Performance in Vietnam’s Power Sector,https://www.smec.com/general/celebrating-outstanding-performance-in-vietnams-power-sector/,https://www.smec.com/wp-content/uploads/2025/03/Electricity-Vietnam-Team_LR.jpg,"Mar 19, 2025"
Empowering Rural Agricultural Through Solar Power,https://www.smec.com/general/empowering-rural-agricultural-solar-power/,https://www.smec.com/wp-content/uploads/2025/02/Solar-Project-Newsroom-Tile.jpg,"Feb 27, 2025"
SMEC shortlisted for eight submissions in the 2024/2025 Consult Australia Awards for Excellence,https://www.smec.com/general/smec-shortlisted-for-eight-submissions-in-the-2024-2025-consult-australia-awards-for-excellence/,https://www.smec.com/wp-content/uploads/2025/02/Consult-Australia-Finalists-Banner.jpg,"Feb 26, 2025"
TBM assembly signals next stage of excavation at Polihali Transfer Tunnel,https://www.smec.com/general/tbm-assembly-signals-next-stage-of-excavation-at-polihali-transfer-tunnel/,https://www.smec.com/wp-content/uploads/2025/02/Polihali-Transfer-Diversion-Tunnels-Lesotho.jpg,"Feb 13, 2025"
"Coega Special Economic Zone, Wastewater Treatment Works (Zone 5)",https://www.smec.com/general/coega-special-economic-zone-wastewater-treatment-works-zone-5/,https://www.smec.com/wp-content/uploads/2025/02/Coega-Special-Economic-Zone_Project-Scope.jpg,"Feb 7, 2025"
